business_category,sub_category,brand,product,quantity,price,mainCategory,midCategory,category,qty,unit
Grocery/General Stores,Health care,Vicks,BabyRub - Soothing Vapor,25 ml - Rs 84.15,Rs 84.15,beauty-hygiene,health-medicine,everyday-medicine,25,ml
Personal Care,Oral Care,Listerine,"Mouthwash Liquid - Cavity Fighter, Removes 99.9% Germs",500 ml Bottle - Rs 234.00,Rs 234,beauty-hygiene,oral-care,mouthwash,500,ml
Grocery/General Stores,Pet food and accessories,Whiskas,"Adult Wet Cat Food - Super Saver Pack, 1+ Year, Tuna In Jelly",85 g Pack of 48,Rs 1478.40,kitchen-garden-pets,pet-food-accessories,pet-meals-treats,85,g
Personal Care,Hair Care,TRESemme,Purify & Replenish Deep Cleansing 28 oz,828ml,Rs 1295,beauty-hygiene,hair-care,shampoo-conditioner,828,ml
Grocery/General Stores,Health Drinks & Supplements,Pediasure,Nutritional Powder Premium Chocolate 400g + Vanilla Delight 400 g,Combo 2 Items,MRP: Rs 1030,beverages,health-drink-supplement,kids-5yrs,2,pc
Personal Care,Body Care,Soulflower,Jasmine Heart Bath Personal Care Gift Set,10 pcs,Rs 1600,beauty-hygiene,bath-hand-wash,bath-salts-oils,10,pc
Grocery/General Stores,Stationery,Classmate,Octane Glide Blue Gel Pen,5 pcs,Rs 49,cleaning-household,stationery,pen-pencils,5,pc
Personal Care,Baby Care,Johnson's baby,Active Kids Shampoo - Clean & Fresh,200 ml,MRP: Rs 200,baby-care,baby-bath-hygiene,baby-bath,200,ml
Grocery/General Stores,Pet food and accessories,Drools,Stainless Steel Dog Feeding Bowl - Large,850 ml,Rs 212.50,kitchen-garden-pets,pet-food-accessories,pet-feeding-support,850,ml
Chicken and meat,Fish and seafood,Sakana,Crab - Blue / Nandu / Khekada / Edi,500 g Whole,MRP: Rs 290,eggs-meat-fish,fish-seafood,other-seafood,500,g
Grocery/General Stores,Breakfast Cereals,Saffola,Oats,1 kg (Get 400g Free),Rs 202.86,snacks-branded-foods,breakfast-cereals,oats-porridge,1,kg
Grocery/General Stores,Health care,Apollo Pharmacy,"Cotton Buds - 200 Stems/400 Swabs, APC0016",200 pcs,MRP: Rs 95,beauty-hygiene,health-medicine,cotton-ear-buds,200,pc
Grocery/General Stores,Household and Kitchen needs,Mr. Boss,Sumo Plastic Clip / Cloth clip,12 pcs,Rs 99,cleaning-household,bins-bathroom-ware,hangers-clips-rope,12,pc
Personal Care,Men's Grooming,Garnier Men,Oil Clear Face Wash - For Oily Skin,150 g,Rs 213.75,beauty-hygiene,mens-grooming,face-body,150,g
Milk & Milk Products,Flavoured Soya Milk,Wonderz Milk,Nutshake - Kesar Badam,200 ml,Rs 35,bakery-cakes-dairy,dairy,flavoured-soya-milk,200,ml
Grocery/General Stores,Pickles & Chutney,IndiSecrets,Organic Homestyle Mango Pickle,250 g,Rs 99,snacks-branded-foods,pickles-chutney,lime-mango-pickle,250,g
Grocery/General Stores,Chocolates,Amul,"Madagascar Noir De Cacao, Single Origin Dark Chocolate - 55% Dark",125 g,MRP:Rs 150,snacks-branded-foods,chocolates-candies,chocolates,125,g
Grocery/General Stores,Chocolates,Hersheys,Kisses - Milk Chocolate,100 g - Rs 119.00,Rs 119,snacks-branded-foods,chocolates-candies,chocolates,100,g
Grocery/General Stores,Household and Kitchen needs,Claycraft,Orchid Milk Mug - O385,330 ml,Rs 139,kitchen-garden-pets,crockery-cutlery,cups-mugs-tumblers,330,ml
Grocery/General Stores,"Tea , Coffee and Powders",Red Label,Tea,1 kg,Rs 427,beverages,tea,leaf-dust-tea,1,kg
Grocery/General Stores,Household and Kitchen needs,Vim,Dishwash Liquid Gel Lemon Refill,500 ml Pouch - Rs 88.11,Rs 88.11,cleaning-household,detergents-dishwash,dishwash-liquids-pastes,500,ml
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",MAGGI,Soup Cube - Vegetable,2 pcs Carton,MRP: Rs 50,snacks-branded-foods,ready-to-cook-eat,soups,2,pc
Grocery/General Stores,Pickles & Chutney,Figaro,Olives - Stuffed Green,450 g Bottle,MRP: Rs 179,gourmet-world-food,tinned-processed-food,olive-jalapeno-gherkin,450,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",American Delight,Basil Drink - Lychee Flavored,290 ml,Rs 76.50,gourmet-world-food,drinks-beverages,gourmet-juices-drinks,290,ml
Grocery/General Stores,"Utensils, Plastics & Storage",Bamboooz,"Kitchen Tools Set With Holder Made Of Bamboo Wood - Spatula, Ladle, Turner",4 pcs,Rs 349,kitchen-garden-pets,kitchen-accessories,strainer-ladle-spatula,4,pc
Grocery/General Stores,Household and Kitchen needs,Liao,"Kitchen Cleaning/Dusting Microfibre Cloth - Red, G130060RD",1 pc,Rs 239.20,cleaning-household,mops-brushes-scrubs,dust-cloth-wipes,1,pc
Personal Care,Oral Care,Colgate,Battery Power Kids Toothbrush - Spiderman,1 pc,Rs 374.25,beauty-hygiene,oral-care,electric-toothbrush,1,pc
Grocery/General Stores,"Utensils, Plastics & Storage",Anjali,"Steel Fork set - Baby, Monde",6 pcs,Rs 135,kitchen-garden-pets,crockery-cutlery,cutlery-spoon-fork,6,pc
Grocery/General Stores,Chips and Crisps,Pringles,Potato Chips - Cheddar Cheese,158 g,MRP: Rs 269,gourmet-world-food,snacks-dry-fruits-nuts,nachos-chips,158,g
Grocery/General Stores,Namkeen and Chatar Patar,Sanjay,Namkeen - Roasted Groundnut,200 g,MRP: Rs 72,snacks-branded-foods,snacks-namkeen,namkeen-savoury-snacks,200,g
Grocery/General Stores,"Tea , Coffee and powders",Sancha,Herbal Green Tea Kadha - Helps Fight Flu & Infection,25 g (25 Bags x 1 g each),MRP: Rs 350,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,25,g
Chicken and meat,Fish and seafood,Pattammal Seafoods,Sand Lobster,1 kg,MRP: Rs 500,eggs-meat-fish,fish-seafood,other-seafood,1,kg
Grocery/General Stores,Breakfast Cereals,MeraKisan,Organic Foxtail Millet,500 g Pouch,MRP: Rs 94,foodgrains-oil-masala,organic-staples,organic-millet-flours,500,g
Grocery/General Stores,Dry Fruits & Nuts,Nutting Else,Cajun Spice Cashew Nuts,250 g,MRP: Rs 490,gourmet-world-food,snacks-dry-fruits-nuts,trail-cocktail-mixes,250,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Koka,Bowl Noodles - Chicken Original,90 g Cup,Rs 112.50,gourmet-world-food,pasta-soup-noodles,imported-noodles,90,g
Personal Care,Men's Grooming,Veet,Hair Removal Cream For Men - Normal Skin,25 gm,Rs 63,beauty-hygiene,mens-grooming,face-body,25,g
Grocery/General Stores,Pet food and accessories,Himalaya Pet Care,"Dog Cleanser - With Conditioner, Erina Plus Coat",200 ml,MRP: Rs 300,kitchen-garden-pets,pet-food-accessories,pet-cleaning-grooming,200,ml
Grocery/General Stores,Dairy products,Amul,Amul Khoa,200 g Pouch,MRP: Rs 75,bakery-cakes-dairy,dairy,condensed-powdered-milk,200,g
Grocery/General Stores,Ghee and Oil,Amul,Cow Ghee/Tuppa,1 L Pouch - Rs 480.00,Rs 480,foodgrains-oil-masala,edible-oils-ghee,ghee-vanaspati,1,l
Personal Care,Men's Grooming,Garnier Men,Power White Anti-Pollution Brightening Moisturiser,40 g - Rs 104.30,Rs 104.30,beauty-hygiene,mens-grooming,face-body,40,g
Grocery/General Stores,Household and Kitchen needs,Pril,Dishwash Bar - Lime,400 g Set of 3,MRP: Rs 102,cleaning-household,detergents-dishwash,dishwash-bars-powders,400,g
Grocery/General Stores,Frozen Veggies & Snacks,Yummiez,Green Peas,500 g,Rs 90.45,snacks-branded-foods,frozen-veggies-snacks,frozen-vegetables,500,g
Personal Care,Deo & Fragrance,Layerr,"Shot Body Spray - Maxx, Flair",125 ml,Rs 146.25,beauty-hygiene,fragrances-deos,body-sprays-mists,125,ml
Grocery/General Stores,"Utensils, Plastics & Storage",LaOpala,Opalware La Opala Dinner Set WL - Silken Charms,23 PCs,Rs 1919,kitchen-garden-pets,crockery-cutlery,dinner-sets,23,pc
Grocery/General Stores,Stationery,Seven,Pad Lock - 50 mm,1 pc,Rs 206,cleaning-household,stationery,scissor-glue-tape,1,pc
Personal Care,Hair Care,Nova,NHP 8104 Silky Shine Hot & Cold Foldable Hair Dryer - 1400 Watt,1 pc,Rs 430.20,beauty-hygiene,hair-care,tools-accessories,1,pc
Grocery/General Stores,Household and Kitchen needs,Vinayak,Stainless Steel Napkin Holder,1 pc,Rs 109,kitchen-garden-pets,crockery-cutlery,cutlery-spoon-fork,1,pc
Grocery/General Stores,Household and Kitchen needs,Scotch brite,Heavy Duty Gloves - Medium,1 pc - Rs 150.00,MRP: Rs 150,cleaning-household,mops-brushes-scrubs,utensil-scrub-pad-glove,1,pc
Grocery/General Stores,Chocolates,Amul,"Peru Dark Amazon, Single Origin Dark Chocolate - 55%",125 g,MRP:Rs 150,snacks-branded-foods,chocolates-candies,chocolates,125,g
Grocery/General Stores,Dry Fruits & Nuts,24 Mantra,Naturals - Almonds,100 g Pouch,MRP: Rs 160,foodgrains-oil-masala,organic-staples,organic-dry-fruits,100,g
Grocery/General Stores,"Tea , Coffee and Powders",Twinings,Tea - English Breakfast,25 pcs Carton,MRP: Rs 299,beverages,tea,leaf-dust-tea,25,pc
Personal Care,Hair Care,Head & shoulders,Smooth and Silky 2-in-1 Shampoo and Conditioner,675ml,Rs 530.00,beauty-hygiene,hair-care,shampoo-conditioner,675,ml
Chicken and meat,Fish and seafood,Buffet,Medium Prawns - Peeled & Deveined,250 g Pouch,MRP: Rs 260,eggs-meat-fish,fish-seafood,frozen-fish-seafood,250,g
Personal Care,Baby Care,Mee Mee,Anti-Colic Easy Flo Silicone Teat - Medium,200 g,MRP: Rs 79,baby-care,feeding-nursing,nursing-tools,200,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Annapurna ,Iodized Powder Salt,1 kg,MRP: Rs 100,foodgrains-oil-masala,salt-sugar-jaggery,salts,1,kg
Grocery/General Stores,Household and Kitchen needs,Kitchen Essentials,Stainless Steel Copper Bottom Q Base - Cook & Serve Set,4 pcs,Rs 549,kitchen-garden-pets,steel-utensils,steel-storage-containers,4,pc
Grocery/General Stores,Breakfast Cereals,General Mills,Cereal - Honey Nut Cheerios,347 g Carton,MRP: Rs 950,gourmet-world-food,cereals-breakfast,cereal-granola-bars,347,g
Grocery/General Stores,Stationery,Hm International,Disney Moana Kids Pencil Box With Sharpener,1 pc,Rs 212,cleaning-household,stationery,exam-pads-pencil-box,1,pc
Grocery/General Stores,Ghee and Oil,Patanjali,Fortified Sunflower Oil,1 L Bottle,MRP: Rs 225,foodgrains-oil-masala,edible-oils-ghee,sunflower-rice-bran-oil,1,l
Grocery/General Stores,Biscuits and Cookies,Gery Gone Mad,"Crackers - Cheese & Sugar + Coconut, Family Pack (10 Crackers, 110G)",Combo 2 Items,Rs 94.08,gourmet-world-food,chocolates-biscuits,crackers-digestive,2,pc
Personal Care,Baby Care,Mee Mee,2-In-1 Baby Bottle Warmer,1 pc,MRP: Rs 2899,baby-care,feeding-nursing,nursing-tools,1,pc
Personal Care,Deo & Fragrance,Jaguar,Classic Eau De Toilette,100 ml,Rs 2310,beauty-hygiene,fragrances-deos,eau-de-toilette,100,ml
Grocery/General Stores,Health care,Sri Sri Tattva,Aloe Vera Triphala Juice,500 ml,MRP: Rs 150,beauty-hygiene,health-medicine,ayurveda,500,ml
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",MTR,Masala - Bisibelebath Powder,100 g Pouch,Rs 54,foodgrains-oil-masala,masalas-spices,blended-masalas,100,g
Grocery/General Stores,Household and Kitchen needs,Harpic,White and Shine Disinfectant Toilet Cleaner Bleach,500 ml,Rs 89,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,500,ml
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Organic Tattva,Organic Seeds - Black Mustard/Sasive,100 g Pouch,Rs 23.75,foodgrains-oil-masala,organic-staples,organic-masalas-spices,100,g
Grocery/General Stores,"Utensils, Plastics & Storage",Nirlon,Oil Pot,1 L,Rs 249,kitchen-garden-pets,steel-utensils,steel-storage-containers,1,l
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Sunsweet,Prune Juice,946 ml,MRP: Rs 675,gourmet-world-food,drinks-beverages,gourmet-juices-drinks,946,ml
Grocery/General Stores,Ghee and Oil,Jivika Naturals,Vedic Hand Churned Bilona Gir Cow Ghee/Tuppa,250 ml,MRP: Rs 530,foodgrains-oil-masala,edible-oils-ghee,ghee-vanaspati,250,ml
Grocery/General Stores,"Spreads, Sauces and Canned Food",Dr. Oetker,FunFoods Pizza Topping,325 g,MRP: Rs 89,snacks-branded-foods,spreads-sauces-ketchup,tomato-ketchup-sauces,325,g
Personal Care,Hair Care,Parachute,Advansed Gold Coconut Hair Oil,400 ml,Rs 193.50,beauty-hygiene,hair-care,hair-oil-serum,400,ml
Milk & Milk Products,Panner,Farm Connect,Organic High Protein Paneer,200 g,Rs 92,bakery-cakes-dairy,dairy,paneer-tofu-cream,200,g
Grocery/General Stores,Ghee and Oil,Sunpure,Refined - Sunflower Oil,1 L Pouch,Rs 160,foodgrains-oil-masala,edible-oils-ghee,sunflower-rice-bran-oil,1,l
Grocery/General Stores,Eggs,Farm Made,Eggs - Free Range,6 pcs,Rs 116,eggs-meat-fish,eggs,farm-eggs,6,pc
Personal Care,Hair Care,Pure Derm,Anti-Hairfall Shampoo,180 ml,Rs 250,beauty-hygiene,hair-care,shampoo-conditioner,180,ml
Grocery/General Stores,Stationery,Faber castell,Artist Water Colour - Assorted Colour,12 pcs,Rs 97,cleaning-household,stationery,colours-crayons,12,pc
Grocery/General Stores,Household and Kitchen needs,Ariel,3-in-1 Pop Detergent Pack,18ct,Rs 432.00,cleaning-household,detergents-dishwash,detergent-powder-liquid,18,ct
Grocery/General Stores,Household and Kitchen needs,Cif, Cream With Micro Crystals,500ml,Rs 199,cleaning-household,all-purpose-cleaners,kitchen-glass-drain,500,ml
Personal Care,Feminine Hygiene,STAYFREE,Dry Max Ultra-Dry Wings,16 pcs,Rs 175,beauty-hygiene,feminine-hygiene,sanitary-napkins,16,pc
Grocery/General Stores,Breakfast Cereals,MeraKisan,Organic Pearl Millet,500 g Pouch,MRP: Rs 62,foodgrains-oil-masala,organic-staples,organic-millet-flours,500,g
Grocery/General Stores,Breakfast Cereals,Saffola,FITTIFY Gourmet Hi-Protein Slim Meal Shake - Swiss Chocolate,420 gm,Rs 1250,beauty-hygiene,health-medicine,supplements-proteins,420,g
Grocery/General Stores,Household and Kitchen needs,ARNIGO,Dishwasher Cleaner & Descaler - Removes Lime Scale & Mineral Build Up,250 g,Rs 585,cleaning-household,all-purpose-cleaners,imported-cleaners,250,g
Grocery/General Stores,Ghee and Oil,Turn Organic,Organic - Mustard Oil,455 g Bottle,Rs 171,foodgrains-oil-masala,organic-staples,organic-edible-oil-ghee,455,g
Personal Care,Men's Grooming,Gillette,Vector Razor,1 pc,RS 65,beauty-hygiene,mens-grooming,moustache-beard-care,1,pc
Grocery/General Stores,Chips and Crisps,Lays,Hot & Sweet Chilli,28 g,MRP: Rs 10,snacks-branded-foods,snacks-namkeen,chips-corn-snacks,28,g
Personal Care,Deo & Fragrance,The Man Company,Non-Gas Body Perfume For Men - Rouge,120 ml,Rs 244,beauty-hygiene,fragrances-deos,perfume,120,ml
Grocery/General Stores,Candies and Mints,Ice Breakers,Sugar Free Mints - Wintergreen,42 g,Rs 186.75,snacks-branded-foods,chocolates-candies,mints-chewing-gum,42,g
Personal Care,Baby Care,PRISTINE,"Millets - Stage-3, 10-24 Months",300 g,MRP: Rs 270,baby-care,baby-food-formula,organic-baby-food,300,g
Grocery/General Stores,Chocolates,Kinder Joy,For Boys - With Surprise,20 g,Rs 38,snacks-branded-foods,chocolates-candies,chocolates,20,g
Grocery/General Stores,Pickles & Chutney,FarmVeda,Chutney Podi - Groundnut,100 g,MRP: Rs 50,snacks-branded-foods,pickles-chutney,chutney-powder,100,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Real Thai,Red Curry With Vegetable,300 g,MRP: Rs 275,foodgrains-oil-masala,masalas-spices,cooking-pastes,300,g
Grocery/General Stores,Batteries and Electonic Acessories ,Wipro,"Garnet LED Bulb -12 Watt, White, Cool Day, B22",1 pc,Rs 179,kitchen-garden-pets,appliances-electricals,cfl-led-bulbs,1,pc
Personal Care,Deo & Fragrance,Set Wet,Spunky Avatar Perfume Spray,120 ml,Rs 132,beauty-hygiene,fragrances-deos,body-sprays-mists,120,ml
Personal Care,Baby Care,Pampers,Xtra Large New Monthly Box - 112 Diaper Pants,112 pcs,Rs 1655.28,baby-care,diapers-wipes,baby-nappy-pads,112,pc
Grocery/General Stores,"Tea , Coffee and Powders",VAHDAM,Instant Tea Premix - Matcha Lemongrass,80 g (10 Sachets x 8 g each),Rs 244.30,beverages,tea,tea-bags,80,g
Personal Care,Baby Care,Timios,"Porridge - Organic Rice & Ragi, For Babies 8+ Months",200 g,MRP: Rs 160,baby-care,baby-food-formula,organic-baby-food,200,g
Grocery/General Stores,Breakfast Cereals,Timios,"Snacks - Sticks, Carrot & Cumin, 2+ Years, 100% Natural & Healthy",30 g - Rs 20.00,MRP: Rs 20,snacks-branded-foods,breakfast-cereals,flakes,30,g
Personal Care,Hair Care,Nova,Hair Spray - Ultra Hold Styling Mousse,200 ml,MRP: Rs 1100,beauty-hygiene,hair-care,hair-styling,200,ml
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Paper Boat,Panipuri Pellets 400 g With Teekha & Meetha Golgappe Ka Pani (Each 200 ml),Combo 3 Items,Rs 254.80,snacks-branded-foods,ready-to-cook-eat,papads-ready-to-fry,3,pc
Grocery/General Stores,Biscuits and Cookies,Britannia,Pure Magic - Deuce,50gm,Rs 25,snacks-branded-foods,biscuits-cookies,glucose-milk-biscuits,50,g
Personal Care,Baby Care,Chicco,Soap Free Bathing Gel - Protect,500 ml - Rs 263.12,Rs 263.12,baby-care,baby-bath-hygiene,baby-bath,500,ml
Personal Care,Men's Grooming,Gillette,Flexball Pro with Glide Gift Pack and Flexball Razor 4 Flexball Cartridge,1 pc,Rs 999.00,beauty-hygiene,mens-grooming,moustache-beard-care,1,pc
Personal Care,Baby Care,Mee Mee,Baby 2 In 1 Feeding Bottle With Spoon - Pink,125 ml,MRP: Rs 229,baby-care,feeding-nursing,baby-dishes-utensils,125,ml
Grocery/General Stores,Stationery,Classmate,"Notebook-A4, Six Subject, Single Line Ruling 300Pages+Ball Pen-Blue, Octane 5pcs",Combo 2 Items,Rs 193,cleaning-household,stationery,pen-pencils,2,pc
Grocery/General Stores,"Spreads, Sauces and Canned Food",Epicure,"Organic Cannellini Beans In Water, No Added Salt",400 g Can,MRP: Rs 250,gourmet-world-food,tinned-processed-food,beans-pulses,400,g
Grocery/General Stores,Bread and bakery,DONUT HOUSE,Donut - Chips,6 pcs,MRP: Rs 420,bakery-cakes-dairy,cakes-pastries,doughnuts-mousses,6,pc
Grocery/General Stores,"Tea , Coffee and Powders",Teamonk,Darjeeling White Teabags - Reeti,50 g (25 Bags x 2 g each),Rs 612.50,beverages,tea,exotic-flavoured-tea,50,g
Chicken and meat,Chicken,Meatzza,Chicken - Burger,500 g,Rs 275,eggs-meat-fish,poultry,frozen-chicken,500,g
Grocery/General Stores,"Utensils, Plastics & Storage",Iveo,100% Melamine Dinner Set Black,8 pcs,Rs 659,kitchen-garden-pets,crockery-cutlery,dinner-sets,8,pc
Grocery/General Stores,Biscuits and Cookies,Marshmelts,Veg Marshmallow - Assorted Fruit Flavour,175 g - Rs 279.00,Rs 279,gourmet-world-food,chocolates-biscuits,marshmallow-candy-jelly,175,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",HappyChef,Singapore Chilli Garlic Sauce,280 g,Rs 119,gourmet-world-food,sauces-spreads-dips,thai-asian-sauces,280,g
Personal Care,Deo & Fragrance,Park avenue,Perfume Spray - Trance,135 ml,Rs 168,beauty-hygiene,fragrances-deos,perfume,135,ml
Grocery/General Stores,Baking Equipments,HAZEL,Aluminium Silver Muffin Tray & Cup cake - 6 Cavity,1 pc,Rs 219,kitchen-garden-pets,bakeware,bakeware-moulds-cutters,1,pc
Personal Care,Baby Care,Pigeon Baby,"Peristaltic Nursing Bottle Twin Pack Kpp - With Nipple, Medium, Blue & White",200 ml,MRP: Rs 429,baby-care,feeding-nursing,sippers-bottles,200,ml
Personal Care,Hair Care,Loreal Paris,Excellence Creme Hair Color (72ml+100g) 3 Dark Brown+Color Protect Shampoo 175ml,Combo 2 Items,Rs 603.88,beauty-hygiene,hair-care,hair-color,2,pc
Personal Care,Baby Care,Dabur,Baby Cream - For Soft Skin With No Harmful Chemicals,200 g,MRP: Rs 280,baby-care,baby-bath-hygiene,baby-creams-lotions,200,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",MAGGI,Nutri-licious Masala Veg Atta Noodles - Pouch,290 g (Pack of 4),Rs 79.20,snacks-branded-foods,noodle-pasta-vermicelli,instant-noodles,290,g
Grocery/General Stores,Household and Kitchen needs,Vinod,"Stainless Steel Kadai - Induction Bottom With Glass Lid, 26 cm",4 L,Rs 1099,kitchen-garden-pets,cookware-non-stick,kadai-fry-pans,4,l
Grocery/General Stores,Household and Kitchen needs,Scotch brite,Floor Cleaning Cloth,2 pcs - Rs 104.08,Rs 104.08,cleaning-household,mops-brushes-scrubs,utensil-scrub-pad-glove,2,pc
Personal Care,Hair Care,Set Wet,Wet Look Styling Hair Gel,50 ml Tube,Rs 42.50,beauty-hygiene,hair-care,hair-styling,50,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains
",Grocery Farm,Mini Soya Chunks,200 g,MRP: Rs 50,foodgrains-oil-masala,dals-pulses,cereals-millets,200,g
Grocery/General Stores,Ghee and Oil,Parachute,Pure Coconut Oil,200 ml Bottle - Rs 80.19,Rs 80.19,foodgrains-oil-masala,edible-oils-ghee,other-edible-oils,200,ml
Grocery/General Stores,"Tea , Coffee and Powders",Teamonk,Turmeric Green Tea,100 g,Rs 280,beverages,tea,green-tea,100,g
Grocery/General Stores,Household and Kitchen needs,Polyset,"Marvel Multipurpose Plastic Basket - Big, Assorted Colour",4 pcs,Rs 339,cleaning-household,bins-bathroom-ware,laundry-storage-baskets,4,pc
Personal Care,Hair Care,Loreal Paris,Excellence Creme Hair Color(72ml+100g) 5 Light Brown+Color Protect Shampoo 175ml,Combo 2 Items,Rs 631.54,beauty-hygiene,hair-care,hair-color,2,pc
Personal Care,Hair Care,Love Beauty and Planet,Natural Murumuru Butter & Rose Shine Shampoo,400ml,Rs 600,beauty-hygiene,hair-care,shampoo-conditioner,400,ml
Grocery/General Stores,"Utensils, Plastics & Storage",Princeware,Plastic Swing Dustbin / Garbage Bin with Lid - Blue Colour,9 L,Rs 219,cleaning-household,bins-bathroom-ware,dustbins,9,l
Grocery/General Stores,Ghee and Oil,RAS CHEKKU OIL,Oil - Coconut,500 ml Pet Bottle,MRP: Rs 190,foodgrains-oil-masala,edible-oils-ghee,other-edible-oils,500,ml
Grocery/General Stores,Namkeen and Chatar Patar,Haldirams,Namkeen - Bhujia Sev,1 kg Pouch,Rs 201,snacks-branded-foods,snacks-namkeen,namkeen-savoury-snacks,1,kg
Grocery/General Stores,Pickles & Chutney,MTR,Pickle - Lime,500 g Jar - Rs 130.00,MRP: Rs 130,snacks-branded-foods,pickles-chutney,lime-mango-pickle,500,g
Grocery/General Stores,Household and Kitchen needs,Dettol,Menthol Cool 500 ml + Laundry San-Spring Blossom 480 ml,Combo 2 Items,Rs 308.70,cleaning-household,detergents-dishwash,fabric-pre-post-wash,2,pc
Grocery/General Stores,Ghee and Oil,Freedom,Oil - Groundnut,1 L,Rs 187,foodgrains-oil-masala,edible-oils-ghee,gingelly-groundnut-oils,1,l
Grocery/General Stores,Biscuits and Cookies,Bisk Farm,Biscuits - English Cracker,150 g,MRP: Rs 35,snacks-branded-foods,biscuits-cookies,marie-health-digestive,150,g
Chicken and meat,Chicken,Zorabian,Chicken - Sausages,250 g Pouch,MRP: Rs 170,eggs-meat-fish,sausages-bacon-salami,chicken-sausages,250,g
Grocery/General Stores,Household and Kitchen needs,Kiwi,Dranex Drain Cleaner,50 g Pouch - Rs 25.00,MRP: Rs 25,cleaning-household,all-purpose-cleaners,kitchen-glass-drain,50,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Nestea,"nstant Iced Tea, Lemon Flavour",400g Pouch,Rs 180,beverages,fruit-juices-drinks,syrups-concentrates,400,g
Grocery/General Stores,"Utensils, Plastics & Storage",Princeware,"Bathing/Cleaning Bucket - With Plastic Handle, Mango Yellow, L1145PH-LT MY",25 L,Rs 249,cleaning-household,bins-bathroom-ware,buckets-mugs,25,l
Personal Care,Baby Care,Chicco,"Feeding Bottle - Natural Feeling, Blue, 0m+",150 ml,MRP: Rs 579,baby-care,feeding-nursing,sippers-bottles,150,ml
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",HappyChef,White - Baking Bar,200 g,Rs 179,snacks-branded-foods,ready-to-cook-eat,dessert-mixes,200,g
Grocery/General Stores,Household and Kitchen needs,Anjali,Coconut Scraper - Sleek,1 pc,Rs 199,kitchen-garden-pets,kitchen-accessories,choppers-graters,1,pc
Grocery/General Stores,Party Essentials,Nabhas,Disposable Ripple Cup - 300 ML,25 pcs,Rs 179,cleaning-household,party-festive-needs,disposable-cups-plates,25,pc
Grocery/General Stores,"Tea , Coffee and Powders",Tetley,Long Leaf Green Tea - Lemon,100 g,MRP: Rs 145,beverages,tea,green-tea,100,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Heineken,0.0 Non Alcoholic Beer,330 ml Can - Rs 56.25,Rs 56.25,beverages,energy-soft-drinks,non-alcoholic-beer-wine,330,ml
Grocery/General Stores,"Utensils, Plastics & Storage",Kvg,"Juice Strainer - Stainless Steel, Size No.6",1 pc,Rs 159,kitchen-garden-pets,kitchen-accessories,strainer-ladle-spatula,1,pc
Personal Care,Baby Care,Timios,"Organic Teething Sticks - Whole Wheat Ajwain, For Kids",150 g,MRP: Rs 175,baby-care,baby-food-formula,organic-baby-food,150,g
Personal Care,Body care,Aveeno,Daily Moisturizing Body Wash,354 ml,Rs 700,beauty-hygiene,skin-care,body-care,354,ml
Grocery/General Stores,Dairy products,London Dairy,"Ice Cream - Mocha Almond Fudge, Family Pack",1 L Tub,Rs 680,gourmet-world-food,dairy-cheese,gourmet-ice-cream,1,l
Grocery/General Stores,Household and Kitchen needs,Fackelmann,Refillable Gas Lighter With Flame (27.5cm),1 pc,Rs 185,kitchen-garden-pets,kitchen-accessories,lighters,1,pc
Grocery/General Stores,Breakfast Cereals,True Elements,"Baked Granola with Rolled Oats, Almonds and Dark Chocolate",450 g - Rs280.00,Rs 280,gourmet-world-food,cereals-breakfast,cereal-granola-bars,450,g
Grocery/General Stores,Household and Kitchen needs,Colin,TV & Gadget Cleaner Spray,500 ml - Rs89.00,Rs 89,cleaning-household,all-purpose-cleaners,kitchen-glass-drain,500,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Daawat,Basmati Rice/Basmati Akki - Biryani,5 kg Bag,Rs 1097,foodgrains-oil-masala,rice-rice-products,basmati-rice,5,kg
Grocery/General Stores,Biscuits and Cookies,Samudra,Crackers - Cream,300 g,MRP: Rs 149,gourmet-world-food,chocolates-biscuits,cookies-biscotti-wafer,300,g
Personal Care,Hair Care,Nihar,Naturals Shanti Sarson Kesh Tel,300 ml,Rs 78,beauty-hygiene,hair-care,hair-oil-serum,300,ml
